video,timestamp,plate
sample.mp4,0.0,WIJNaU
sample.mp4,0.033,MpLru
sample.mp4,0.067,Wiau
sample.mp4,0.1,WaRU
sample.mp4,0.2,MWonru
sample.mp4,0.233,WpIRU
sample.mp4,0.267,Miumru
sample.mp4,0.3,Wdarv
sample.mp4,0.333,Ha
sample.mp4,0.367,MDaRV
sample.mp4,0.4,mpLN
sample.mp4,0.433,Mphav
sample.mp4,0.467,HLIJ Npu
sample.mp4,0.5,MONRU 
sample.mp4,0.533,WpaRU
sample.mp4,0.567,WpwRU
sample.mp4,0.6,MpNau
sample.mp4,0.633,HLIJMRU
sample.mp4,0.667,MDRU
sample.mp4,0.667,Lsu
sample.mp4,0.7,WINRU
sample.mp4,0.733,Lkru
sample.mp4,0.767,WijaRU
sample.mp4,0.8,NAiJhRU
sample.mp4,0.833,NiJ NRU
sample.mp4,0.867,NIJNRU
sample.mp4,0.9,WOaRU
sample.mp4,0.933,MprU
sample.mp4,0.967,Waidnau
sample.mp4,1.0,WinaU
sample.mp4,1.033,MIJMRU
sample.mp4,1.067,MOaRU
sample.mp4,1.1,Hdaru
sample.mp4,1.133,WOru
sample.mp4,1.167,Hm
sample.mp4,1.567,LTA
sample.mp4,2.0,WSIYSU
