video,timestamp,plate
sample1.mp4,0.0,02965750
sample1.mp4,0.033,02965750
sample1.mp4,0.067,02965750
sample1.mp4,0.1,2905230
sample1.mp4,0.1,La4|
sample1.mp4,0.133,029d550
sample1.mp4,0.133,Le
sample1.mp4,0.167,K2905750
sample1.mp4,0.167,998 
sample1.mp4,0.2,429d5258
sample1.mp4,0.233,029d5758
sample1.mp4,0.267,42965758
sample1.mp4,0.3,02965759
sample1.mp4,0.3,KAA
sample1.mp4,0.3,9981
sample1.mp4,0.333,02905750
sample1.mp4,0.333,KAAI B 9981
sample1.mp4,0.367,KAai
sample1.mp4,0.367,9981
sample1.mp4,0.367,429q5750
sample1.mp4,0.4,02905750
sample1.mp4,0.4,9981
sample1.mp4,0.433,4296575
sample1.mp4,0.433,KA41
sample1.mp4,0.433,9981
sample1.mp4,0.467,42Jg5d
sample1.mp4,0.467,9981
sample1.mp4,0.5,02165
sample1.mp4,0.5,KA4I
sample1.mp4,0.5,9981
sample1.mp4,0.533,479657
sample1.mp4,0.533,KA4I
sample1.mp4,0.533,9981
sample1.mp4,0.567,998 |
sample1.mp4,0.6,Lea 4
sample1.mp4,0.6,998 1
sample1.mp4,0.633,79g5
sample1.mp4,0.633,KA 41
sample1.mp4,0.633,9981
sample1.mp4,0.667,KA 41 8 9981
sample1.mp4,0.7,Fae
sample1.mp4,0.7,9981
sample1.mp4,0.733,KA41 B 9981
sample1.mp4,0.767,KA41B 9981
sample1.mp4,0.8,KA41 B 99819
sample1.mp4,0.833,KA 41 B 9981
sample1.mp4,0.867,KA4 B 9981
sample1.mp4,0.9,KA 41 B 9981
sample1.mp4,0.933,KA 41 B 9981
sample1.mp4,0.967,KA 41 B 9981
sample1.mp4,1.0,KA 41 B 998
sample1.mp4,1.033,KA 41 B 99
sample1.mp4,1.067,KA 41 B 9
sample1.mp4,1.1,KA 41 8
sample1.mp4,1.133,KA 41
sample1.mp4,1.167,KA 41
sample1.mp4,3.233,KAbIMD
sample1.mp4,3.267,KAbl4p 49
sample1.mp4,3.3,KibhDu494
sample1.mp4,3.333,KALHD4494
sample1.mp4,3.367,KAbMD 492
sample1.mp4,3.4,KABMD 492
sample1.mp4,3.433,KASiMD I492
sample1.mp4,3.467,KASHD 492
sample1.mp4,3.5,KASHD 492
sample1.mp4,3.533,KASHD 4492
sample1.mp4,3.567,KA5IMD 492
sample1.mp4,3.6,KASIMD 1492
sample1.mp4,3.633,KASIMD 1493
sample1.mp4,3.667,KA SIMD 492
sample1.mp4,3.7,KASIMD 1492
sample1.mp4,3.733,KASIMD 1492
